Event: 227744123 | orbit≈ 22774412 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744133 | orbit≈ 22774413 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744143 | orbit≈ 22774414 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744153 | orbit≈ 22774415 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744163 | orbit≈ 22774416 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744173 | orbit≈ 22774417 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744183 | orbit≈ 22774418 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744193 | orbit≈ 22774419 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744203 | orbit≈ 22774420 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744213 | orbit≈ 22774421 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744223 | orbit≈ 22774422 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744233 | orbit≈ 22774423 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744243 | orbit≈ 22774424 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744253 | orbit≈ 22774425 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744263 | orbit≈ 22774426 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744273 | orbit≈ 22774427 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744283 | orbit≈ 22774428 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744293 | orbit≈ 22774429 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744303 | orbit≈ 22774430 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744313 | orbit≈ 22774431 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744323 | orbit≈ 22774432 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744333 | orbit≈ 22774433 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744343 | orbit≈ 22774434 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744353 | orbit≈ 22774435 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744363 | orbit≈ 22774436 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744373 | orbit≈ 22774437 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744383 | orbit≈ 22774438 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744393 | orbit≈ 22774439 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744403 | orbit≈ 22774440 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744413 | orbit≈ 22774441 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744423 | orbit≈ 22774442 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744433 | orbit≈ 22774443 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744443 | orbit≈ 22774444 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744453 | orbit≈ 22774445 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744463 | orbit≈ 22774446 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744473 | orbit≈ 22774447 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744483 | orbit≈ 22774448 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744493 | orbit≈ 22774449 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744503 | orbit≈ 22774450 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744513 | orbit≈ 22774451 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744523 | orbit≈ 22774452 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744533 | orbit≈ 22774453 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744543 | orbit≈ 22774454 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
